Rank,ID,Name,Mint,Image,Total Yield
1,9805,SolStein #9805,FsEy3zwFHRLMVCdTNBn8DkrYMSARxpgaUGjjo834kx34,https://www.arweave.net/KeWDVs2BUhsCEU6pRnah1P7lQKB4KcicLsF4FUXHNr0?ext=png,19297.9298
2,475,Quantum Trader #475,AfqQk4eboUuUxnhiysmL7ZZopTbWooVE5ipvHEK8ACu6,https://arweave.net/rg7KAlp9RK9fPoQ-ZBxWy1O6e7Jg0gb2O63A1goUU44,19297.0483
3,1717,Quantum Trader #1717,9NWyR73j9F7pgZLCwNFQMP3cvFrbmqXTsXMctDuH8c1f,https://arweave.net/8ofMFXZtVZ9fZWaBJpfMR5_lk6j59ZhFCmAlV8DmOIo,19296.1667
4,9801,SolStein #9801,8zEDn5tDi1Qyygr7sqBkibbVPwEWjrT9J7AdWJzxnnoU,https://www.arweave.net/sG_xHCvajNn3DH35imISS0pDfac178kTAqE07V6J-sQ?ext=png,19295.2852
5,8246,Quantum Trader #8246,BZ5rF2LhxAh6SzhsuN36j54duKMc1mMye8GyydHNFd3p,https://arweave.net/WG_SEFu9nnUDw1WzVIwUOr4kpivmfYs2j2wsd5xcxQw,19294.4037
6,7473,Quantum Trader #7473,H4nCLEAHmZJ74zSdYp7vCxsaUwfYHW1ALbULBxHpYxY9,https://arweave.net/Cy6rPKny3od9p_SLg0YUNeC6GWQwGtca-fwo7XhyWUo,19293.5221
7,9803,SolStein #9803,AAz94XpBxL37QNvV8mUep9z22d8PMFQfuQEdZukStDYt,https://www.arweave.net/8kCxsjqQ5gy5Y2vo_dso3vRPJ9NF4LLi-T0nNF89VAI?ext=png,19292.6406
8,6174,Quantum Trader #6174,4yrU9rAa2HN9w8GuMsoi1oDYbdsgz6391rqLmKY4T4Yy,https://arweave.net/tUS5uIludOSO4jId7cUHBRAaxpWpaKIwLfx02WwNngk,19291.759
9,1593,Quantum Trader #1593,9kpNHMLNEuNh6BrmJkWY5JviusSN852yNk4oTghLsCQr,https://arweave.net/aBcaGx2ASqfYZt3xc48y12_yXOD-n2umL2jMSKEZ_Ys,19290.8775
10,9802,SolStein #9802,3xXsQakypS4kYtMkrHABVEd6mPYeFuPpaRrPLL4xga9g,https://www.arweave.net/c2tJvPySox1SRqtbpLz8PJWwmn_IzzzqthlErM2gMso?ext=png,19289.996
11,6311,Quantum Trader #6311,GiugU48X547y52wiXen2SPJW6MySMABNfcHqhidTPHfp,https://arweave.net/zye71kW04Hcawt03gxwsUFBv2gepXTn4DUTWBYjKi1Q,19289.1144
12,8326,Quantum Trader #8326,Ch8UypMa5eBo6mqy4xJPUc2eSRf99dZrdkPw4TYBG9ku,https://arweave.net/j4Nyt_zAWTo5rlsNHe_Qbz0TrzgE181-orJvGAXAyoI,19288.2329
13,490,SolStein #490,FVXAZmvW8cRigvWFAaGXMkpWjPmtonBb3CsXTwi1XDDZ,https://www.arweave.net/fke6H00YunLoRjqd1Nudjh6wP7iNkx8QM4lYGaFhp5s?ext=png,19287.3514
14,5308,Quantum Trader #5308,A8fGiNaUJruMP7xCkPAHHcoyMhtmLVvvy8dZDmKhSnuP,https://arweave.net/0fB_XD2BFn5-gKB0sDV7A5YwFRe3xph5-NafwPpsktw,19286.4698
15,692,Quantum Trader #692,F8ouXbTVRa4U57jro19uvSvyga9qg8FrWG6E2a9UDDna,https://arweave.net/QSLzZCLYlCc7Z1vj8J5CU2h1UaK31vdlD8jVWlXO_K0,19285.5883
16,8196,SolStein #8196,HGJ4FmDwRtTckKbaZPdT59PVkH3NSSpMfoEFVVaUqB6h,https://www.arweave.net/2e40g6o7KThUZnHvfOFFJewEjzohDZaN74Og3LHntDA?ext=png,19284.7068
